Part Number,Part Name,Rule Number,Title,Content
3,"INCIDENTAL PROCEEDINGS COMMISSIONS
",75,Power of Court to issue commissions.,"Subject to such conditions and limitations as may be prescribed, the Court may issue a commission (a) to examine any person ; (b) to make a local investigation ; (c) to examine or adjust accounts ; or (d) to make a partition. 3[75A. * * * * * * *] (a) 1 Courts situate beyond the limits of 1[Pakistan] and established or continued by the authority of 3[* * *] 4[the 5[Federal Government] 6* * *], or 7[* * * * * * *] (c) Courts of any State or country outside Pakistan.]."
3,"INCIDENTAL PROCEEDINGS COMMISSIONS
",76,Commission to another Court.,"(1) A commission for the examination of any person may be issued to any Court (not being a High Court) situate in a Province other than the Province in which the Court of issue is situate and having jurisdiction in the place in which the person to be examined resides. (2) Every Court receiving a commission for the examination of any person under sub-section (1) shall examine him or cause him to be examined pursuant thereto, and the commission, when it has been duly executed, shall be returned together with the evidence taken under it to the Court from which it was issued, unless the order for issuing the commission has otherwise directed, in which case the commission shall be returned in terms of such order."
3,"INCIDENTAL PROCEEDINGS COMMISSIONS
",77,Letter of request.,In lieu of issuing a commission the Court may issue a of letter of request to examine a witness residing at any place not within 1[Pakistan].
3,"INCIDENTAL PROCEEDINGS COMMISSIONS
",78,Commissions issued by foreign Courts.,"2[Subject to such conditions and limitations as may be prescribed,] the provisions as to the execution and return of commissions for the examination of witnesses shall apply to commissions issued by 2[or at the instance of]"
